experiment,differential_evolution,firefly_algo,particle_swarm,som_algorithm,tlbo_algorithm
0,930.4710658836179,1155.9397113939926,40.244272089354354,516.6745812226129,84.80768782974035
1,877.2704744845,1124.0715952714315,183.2426147566447,533.6116417074692,326.0513081341021
2,999.1844536456639,821.7618592241198,48.32810667387586,687.2314016103142,328.8533890954412
3,626.2806171282504,57866.67828704869,144.33256921127045,979.0814289831911,213.890569594383
4,768.3114008945695,1115.297766703047,140.9664329241611,789.0726598055859,379.22886385889666
5,795.1152492275831,1110.653443831976,61.13132178701415,686.5816525212966,174.88484354532943
6,1049.9900102531694,948380.2102613339,78.2173790514157,614.7175377108454,255.33402509494366
7,934.6913840829809,175744.97456176596,36.07815778651593,684.686176854054,290.01748984792147
8,708.4520991819202,21374.126043108357,65.17088717218576,1324.1497563268983,176.00999547673328
9,939.5026250193436,1341.9095740987696,210.98178710965732,1055.3699723412747,304.9002621726208
10,947.875428602763,8118.7838481244835,94.17882718484252,644.6077314167335,246.28109598278954
11,943.5162460086922,9988.889713466928,71.9809597198156,1179.7726143379,206.88062304836538
12,713.9847809072213,757837.6131197355,140.53035058230176,453.2599309505186,274.3160864798786
13,943.553235029372,2608.469856944693,153.73415684677516,921.8963893966142,169.1992319191334
14,1026.0216443986885,1972.643923551038,105.49687830965416,704.8939156495431,272.18335378329346
15,798.808431919954,806.4399973220425,67.85771323963742,1089.6359141160092,278.3088949577578
16,787.0736450496959,1184.1815033987089,104.0231641113228,573.4812170142632,258.0570127793149
17,842.5805698326875,2310.896277377327,141.27164535235315,614.2542581665422,161.09083268824517
18,653.056705986745,1248.8942095008795,93.63018671306659,591.1008241620654,266.6343514015766
19,941.0536802976907,759791.915487259,101.345905885249,638.1149367333179,337.0434480860372
20,936.245899170606,3624.811901152005,126.01523490312323,687.3172690915658,500.4571047701901
21,1046.4354671984668,1019.5100832073483,53.008344752316916,986.4529080970003,222.9683387526989
22,849.438947640913,1061.9371133797956,90.07885172752282,840.7178416731091,348.7058313032097
23,915.320856500156,927.9661380313427,115.2581447979289,557.788685529056,199.33003944411655
24,912.6778600203538,1176.8725305382702,57.666382386187166,808.8638111531756,317.1278203861667
25,905.97817276186,412011.368194495,108.75255654771159,1110.6464347268236,130.86413412480258
26,896.4192202957057,3714.6073531792426,69.98879409730193,710.1980642463052,185.85834166739085
27,870.3753036244385,938.7800273653497,88.40526842339615,472.74922928739323,295.154673138539
28,786.3089517841054,2019.854070914775,111.78144453611631,537.3703671707106,123.07615093983321
29,787.9489280676528,2730.3333144305934,40.48107569997758,726.2074730571056,540.1353522622394
