experiment,differential_evolution,firefly_algo,particle_swarm,som_algorithm,tlbo_algorithm
0,69.94207036548467,408.8975076538929,6.674313502016781,190.73062142827118,2.5334361749529988
1,89.47348892126334,430.69697468228,3.912987045067257,202.0037693081096,2.932733188006777
2,56.66224738805894,431.96761208886085,5.308410947620097,180.7979820010649,1.929510372887133
3,85.6856482772968,380.87204572972695,3.20560586464398,159.56825109411133,1.7859700427168506
4,92.7941541610385,451.99608990364317,6.328086644552262,112.86640580953052,1.981502280979654
5,72.30081987578852,463.06685980557273,4.698472407270307,201.2388666363041,1.4660272249198507
6,57.163548280456425,423.523714075284,4.224028151018747,198.86777331278333,2.1883066244263225
7,73.56750437118914,436.42446844300906,3.1001041295292953,147.3930811183689,1.5399129039912562
8,49.44570146079753,438.4178916658288,4.1202042387652735,187.39445520348238,1.2371018770810953
9,61.905265256119016,386.0719510797879,3.9555813590050617,158.16483576709456,1.5219947492906332
10,64.988833737471,477.30831183006984,3.7699975913805726,176.71609359836742,1.9381689625418277
11,59.480108297530506,394.46661675742735,4.547159635697628,165.61159447875679,1.7015790519078213
12,64.10204410006517,409.0780387395191,4.028627290250925,142.9272779898709,2.065456265854647
13,52.278051756956025,412.69792679430935,3.131112169255963,162.2158326885074,1.3501707969965766
14,62.83674735806439,407.0818033077176,3.172880227654752,179.35890314945868,1.520366897446138
15,76.32005012081979,448.07167192507484,3.455694576385685,211.08543436080754,1.6985371098833593
16,89.75100853666785,373.36828226271314,4.388148942849142,223.40932656841628,1.4653900494016934
17,84.57819706626276,395.856697308525,2.6229503999624875,155.12395257789967,1.3887113994087121
18,60.185609908130495,549.5707237620181,4.004213508579266,181.3494697013507,2.4016264639364886
19,82.48525221884414,470.9686490692527,4.820507611951484,161.66686014115066,1.4504921330192688
20,63.245640963970416,405.6872259275104,2.7911177670757423,178.3688589233046,1.648858172335745
21,74.672973361929,465.0124270048918,4.230139402556423,202.65086164064107,1.7645373836013443
22,79.44597864051987,386.03639604223036,2.000007275663199,184.21636506503566,2.7186224256412768
23,65.40208742277983,435.0497836832439,3.1181442467542086,167.8684260405669,1.3213718607581404
24,63.83879989973957,381.5551204687618,6.485840449608953,146.46704407200156,2.2922993016386926
25,88.79728559602114,435.17916955955616,5.084757694028948,190.26532438130363,1.579819279577625
26,67.80374019932574,402.0246899471318,4.747793807386049,130.7435292277995,1.5077177088813056
27,65.02889578246817,392.2591718629567,3.333552583296269,167.9755748994484,2.1554429063093323
28,63.38465035652144,405.99315007582226,3.4639488836330634,169.8056798004059,1.967012100104692
29,61.17093222575136,403.74321403029387,3.065841466207466,138.19151274711288,2.540172646081879
